;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC3016FE411C6,,,,,,,,,,,
;Start_time, 2007-01-05, 09:07:08.189,2007-01-05 09:07:08.189,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,4138, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
4.656738,172,243,-2198,12,25,-2,15685.005,201.314,-613.014,-4690.386,-279,-449,-310,,2007-01-05 09:07:12.846
4.676757,171,252,-2213,23,20,-4,15684.902,204.282,-613.569,-4690.532,,,,,2007-01-05 09:07:12.866
4.696746,162,253,-2202,-14,12,-2,15684.608,201.277,-620.071,-4690.79,,,,,2007-01-05 09:07:12.886
4.716766,183,251,-2201,-26,2,0,15684.563,199.337,-621.546,-4690.827,,,,,2007-01-05 09:07:12.906
4.736785,180,255,-2209,8,11,-4,15684.524,201.005,-617.77,-4691.384,,,,,2007-01-05 09:07:12.926
4.756774,212,245,-2232,36,44,-7,15683.973,204.99,-623.289,-4692.325,-269,-461,-328,,2007-01-05 09:07:12.946
4.776794,176,296,-2225,-73,11,-12,15682.72,193.457,-645.777,-4693.963,,,,,2007-01-05 09:07:12.966
4.796814,233,323,-2234,-174,-30,-7,15681.738,176.769,-665.449,-4695.151,,,,,2007-01-05 09:07:12.986
4.816894,181,262,-2276,-45,-13,-5,15682.161,194.396,-653.419,-4694.733,,,,,2007-01-05 09:07:13.006
4.836822,152,226,-2243,136,84,-2,15683.243,209.17,-632.663,-4693.325,,,,,2007-01-05 09:07:13.026
4.856842,118,233,-2215,125,45,3,15684.034,217.251,-619.693,-4692.045,-273,-455,-313,,2007-01-05 09:07:13.046
4.876831,123,261,-2203,53,24,5,15684.321,217.047,-620.137,-4691.036,,,,,2007-01-05 09:07:13.066
4.89685,153,268,-2224,-31,32,2,15683.902,216.914,-630.438,-4691.071,,,,,2007-01-05 09:07:13.086
4.91687,165,227,-2185,-59,21,0,15683.825,216.555,-636.942,-4690.465,,,,,2007-01-05 09:07:13.106
4.936889,204,286,-2248,-47,37,1,15683.069,198.193,-662.061,-4690.328,,,,,2007-01-05 09:07:13.126
4.956909,211,275,-2198,-200,-71,3,15682.499,187.743,-679.424,-4690.179,-272,-445,-319,,2007-01-05 09:07:13.146
4.976898,155,223,-2194,2,27,2,15683.099,201.592,-667.156,-4689.362,,,,,2007-01-05 09:07:13.166
4.996978,188,288,-2270,75,66,-2,15682.654,194.352,-676.396,-4689.83,,,,,2007-01-05 09:07:13.186
5.016906,167,285,-2185,-105,-43,-5,15682.431,192.342,-678.215,-4690.396,,,,,2007-01-05 09:07:13.206
5.036926,127,258,-2256,55,27,-2,15683.013,201.242,-664.089,-4690.097,,,,,2007-01-05 09:07:13.226
5.056945,154,256,-2248,71,58,-6,15683.138,203.563,-661.135,-4689.998,-282,-441,-313,,2007-01-05 09:07:13.246
5.076934,157,224,-2199,-4,-7,3,15683.509,195.579,-663.289,-4688.793,,,,,2007-01-05 09:07:13.266
5.096954,166,256,-2224,-25,-41,11,15683.616,187.616,-669.024,-4687.945,,,,,2007-01-05 09:07:13.286
5.116973,190,224,-2236,-27,34,-2,15683.545,191.44,-670.199,-4687.861,,,,,2007-01-05 09:07:13.306
5.136993,181,263,-2252,2,24,-2,15683.406,191.281,-674.387,-4687.731,-282,-441,-313,30699,2007-01-05 09:07:13.326
5.156982,185,272,-2214,-40,1,0,15683.937,186.649,-683.057,-4684.886,-271,-441,-311,,2007-01-05 09:07:13.346
5.177002,201,275,-2254,-54,21,41,15686.958,184.928,-688.906,-4673.97,,,,,2007-01-05 09:07:13.366
5.197021,222,269,-2304,-13,-7,60,15689.64,181.569,-687.468,-4665.302,,,,,2007-01-05 09:07:13.386
5.21701,177,288,-2295,-15,-53,30,15697.826,174.69,-685.812,-4638.195,,,,,2007-01-05 09:07:13.406
5.23703,272,252,-2177,0,-62,223,15707.566,168.236,-676.123,-4606.773,,,,,2007-01-05 09:07:13.426
5.257049,189,246,-2209,89,-78,41,15708.489,181.76,-660.128,-4605.433,-277,-440,-323,,2007-01-05 09:07:13.446
5.277038,147,254,-2223,77,1,5,15708.79,175.1,-661.65,-4604.445,,,,,2007-01-05 09:07:13.466
5.297058,195,258,-2227,-86,16,-2,15708.122,168.388,-677.298,-4604.7,,,,,2007-01-05 09:07:13.486
5.317077,183,263,-2256,-60,6,2,15708.03,167.932,-681.27,-4604.445,,,,,2007-01-05 09:07:13.506
5.337097,182,245,-2209,2,30,-3,15708.318,169.657,-676.38,-4604.12,,,,,2007-01-05 09:07:13.526
5.357086,204,256,-2212,41,12,0,15708.543,169.884,-672.292,-4603.94,-277,-442,-323,,2007-01-05 09:07:13.546
5.377105,229,248,-2193,8,0,-2,15708.637,167.67,-672.461,-4603.676,,,,,2007-01-05 09:07:13.566
5.397094,191,276,-2235,9,5,0,15708.748,167.94,-671.496,-4603.429,,,,,2007-01-05 09:07:13.586
5.417114,175,252,-2224,16,11,2,15708.903,170.375,-669.711,-4603.072,,,,,2007-01-05 09:07:13.606
5.437133,180,240,-2224,18,28,0,15709.191,172.447,-666.74,-4602.441,,,,,2007-01-05 09:07:13.626
5.457153,155,232,-2218,24,13,4,15709.37,174.487,-665.789,-4601.891,-269,-447,-321,,2007-01-05 09:07:13.646
5.477142,184,262,-2215,2,20,1,15709.301,174.607,-667.996,-4601.804,,,,,2007-01-05 09:07:13.666
5.497161,178,283,-2241,-14,10,0,15709.213,172.745,-670.646,-4601.788,,,,,2007-01-05 09:07:13.686
5.517181,65,333,-2240,-10,6,0,15709.548,172.923,-668.065,-4601.014,,,,,2007-01-05 09:07:13.706
5.53717,201,266,-2116,40,-3,8,15709.712,172.346,-665.299,-4600.875,,,,,2007-01-05 09:07:13.726
5.55719,193,300,-2346,-21,-46,0,15709.402,170.837,-672.219,-4600.984,-284,-456,-317,,2007-01-05 09:07:13.746
5.577209,173,234,-2214,-20,59,-2,15709.271,177.136,-674.712,-4600.829,,,,,2007-01-05 09:07:13.766
5.597229,182,253,-2159,-9,22,-5,15709.052,176.438,-676.409,-4601.356,,,,,2007-01-05 09:07:13.786
5.617218,179,275,-2268,1,22,-5,15708.985,181.237,-677.6,-4601.223,,,,,2007-01-05 09:07:13.806
5.637237,162,259,-2220,3,38,-2,15708.904,182.024,-680.136,-4601.092,-284,-456,-317,30697,2007-01-05 09:07:13.826
5.657257,157,283,-2196,-15,12,-2,15708.766,182.136,-683.41,-4601.074,-262,-452,-314,,2007-01-05 09:07:13.846
5.677246,235,515,-2417,-13,24,0,15707.638,170.181,-707.167,-4601.792,,,,,2007-01-05 09:07:13.866
5.697265,218,352,-2299,-276,-86,-4,15707.997,157.285,-704.661,-4601.411,,,,,2007-01-05 09:07:13.886
5.717285,187,211,-2184,-60,10,-9,15708.541,175.489,-690.81,-4600.996,,,,,2007-01-05 09:07:13.906
5.737274,206,279,-2244,102,103,-5,15708.201,173.185,-696.359,-4601.406,,,,,2007-01-05 09:07:13.926
5.757293,197,258,-2223,-74,-45,-2,15708.664,164.342,-693.261,-4600.62,-275,-450,-313,,2007-01-05 09:07:13.946
5.777313,209,194,-2205,90,5,9,15710.244,169.773,-672.493,-4598.107,,,,,2007-01-05 09:07:13.966
5.797302,209,231,-2202,112,11,11,15710.388,171.512,-672.079,-4597.611,,,,,2007-01-05 09:07:13.986
5.817382,181,262,-2219,-44,15,-2,15709.824,169.069,-683.3,-4597.977,,,,,2007-01-05 09:07:14.006
5.837341,161,305,-2322,-69,27,-7,15709.384,171.542,-688.011,-4598.684,,,,,2007-01-05 09:07:14.026
5.85736,153,255,-2291,22,20,-3,15710.777,177.906,-668.547,-4596.553,-273,-455,-320,,2007-01-05 09:07:14.046
5.877349,168,183,-2048,14,-3,8,15712.867,162.778,-675.383,-4588.965,,,,,2007-01-05 09:07:14.066
5.897338,210,233,-2175,6,-12,148,15721.118,159.513,-682.864,-4559.62,,,,,2007-01-05 09:07:14.086
5.917358,185,222,-2194,24,-35,110,15723.236,158.634,-684.772,-4552.056,,,,,2007-01-05 09:07:14.106
5.937378,230,237,-2251,-14,-13,1,15723.525,151.303,-688.387,-4550.76,,,,,2007-01-05 09:07:14.126
5.957397,179,237,-2243,-31,-33,17,15728.799,146.429,-693.507,-4531.88,-273,-446,-315,,2007-01-05 09:07:14.146
5.977417,176,267,-2246,-39,-15,165,15737.281,127.252,-697.566,-4502.293,,,,,2007-01-05 09:07:14.166
5.997406,187,270,-2239,-49,-95,185,15744.624,93.92,-700.348,-4476.936,,,,,2007-01-05 09:07:14.186
6.017425,222,281,-2196,-59,-188,152,15753.574,58.119,-700.369,-4445.947,,,,,2007-01-05 09:07:14.206
6.037414,229,255,-2180,-55,-155,227,15766.083,29.011,-704.353,-4401.033,,,,,2007-01-05 09:07:14.226
6.057434,232,183,-2169,-63,-132,282,15775.927,6.406,-707.941,-4365.128,-271,-453,-313,,2007-01-05 09:07:14.246
6.077453,216,265,-2233,-33,-147,128,15776.107,-8.095,-712.881,-4363.669,,,,,2007-01-05 09:07:14.266
6.097442,248,278,-2218,-62,35,-5,15775.767,-10.903,-719.172,-4363.861,,,,,2007-01-05 09:07:14.286
6.117492,259,251,-2198,-30,-5,-2,15775.769,-11.358,-720.848,-4363.575,,,,,2007-01-05 09:07:14.306
6.137481,226,270,-2237,-18,44,-5,15775.224,0.616,-730.613,-4363.937,-271,-453,-313,30646,2007-01-05 09:07:14.326
6.157501,247,256,-2160,-46,96,-10,15774.457,10.613,-742.369,-4364.714,-274,-445,-317,,2007-01-05 09:07:14.347
6.17749,220,278,-2200,-47,91,-10,15773.541,24.366,-762.381,-4364.518,,,,,2007-01-05 09:07:14.366
6.197509,251,247,-2160,-111,111,5,15773.998,25.765,-797.046,-4356.659,,,,,2007-01-05 09:07:14.387
6.21759,171,297,-2265,-276,94,81,15780.922,33.389,-874.583,-4316.473,,,,,2007-01-05 09:07:14.407
6.237518,238,319,-2208,-461,178,330,15794.473,13.724,-961.506,-4247.986,,,,,2007-01-05 09:07:14.427
6.257568,199,352,-2201,-526,34,429,15809.679,-4.97,-1050.664,-4169.599,-266,-441,-318,,2007-01-05 09:07:14.447
6.277557,200,345,-2218,-487,54,465,15825.007,-27.081,-1122.611,-4091.895,,,,,2007-01-05 09:07:14.467
6.297546,205,352,-2206,-361,39,465,15842.899,-33.059,-1159.806,-4011.453,,,,,2007-01-05 09:07:14.487
6.317566,243,365,-2231,-114,85,477,15861.84,-24.434,-1162.231,-3935.236,,,,,2007-01-05 09:07:14.507
6.337585,165,193,-2085,75,103,416,15877.82,-9.268,-1142.312,-3876.247,,,,,2007-01-05 09:07:14.527
6.357605,147,311,-2056,170,69,293,15889.929,9.219,-1122.738,-3832.097,-268,-441,-318,,2007-01-05 09:07:14.547
6.377594,174,351,-2197,152,86,119,15889.724,18.002,-1125.981,-3831.966,,,,,2007-01-05 09:07:14.567
6.397613,262,368,-2123,-57,38,-13,15889.019,9.542,-1137.992,-3831.37,,,,,2007-01-05 09:07:14.587
6.417602,189,292,-2140,-74,-18,8,15888.815,8.616,-1142.768,-3830.798,,,,,2007-01-05 09:07:14.607
6.437622,208,312,-2237,7,4,0,15889.484,10.683,-1136.207,-3829.968,,,,,2007-01-05 09:07:14.627
6.457641,205,269,-2187,56,19,6,15890.429,15.475,-1127.078,-3828.729,-271,-432,-313,,2007-01-05 09:07:14.647
6.47763,242,361,-2169,48,33,4,15890.012,13.499,-1132.921,-3828.74,,,,,2007-01-05 09:07:14.667
6.49765,135,272,-2011,-53,-3,-3,15889.573,10.776,-1138.429,-3828.939,,,,,2007-01-05 09:07:14.687
6.517669,212,369,-2224,58,28,-7,15889.541,9.455,-1140.928,-3828.33,,,,,2007-01-05 09:07:14.707
6.537689,223,323,-2176,-25,0,-4,15889.611,8.03,-1141.083,-3827.999,,,,,2007-01-05 09:07:14.727
6.557678,198,350,-2161,8,7,2,15889.679,6.548,-1142.457,-3827.31,-271,-441,-320,,2007-01-05 09:07:14.747
6.577697,240,391,-2236,-18,1,4,15892.138,6.352,-1148.818,-3815.177,,,,,2007-01-05 09:07:14.767
6.597717,218,331,-2116,-45,46,117,15897.656,3.63,-1156.119,-3789.901,,,,,2007-01-05 09:07:14.787
6.617736,216,336,-2219,-12,40,156,15903.429,3.001,-1163.836,-3763.222,,,,,2007-01-05 09:07:14.807
6.637725,157,349,-2411,-35,14,154,15909.005,0.919,-1169.068,-3737.95,-271,-441,-320,30724,2007-01-05 09:07:14.827
6.657745,215,325,-2234,-38,5,152,15913.388,0.931,-1170.014,-3718.949,-271,-424,-325,,2007-01-05 09:07:14.847
6.677764,150,309,-2186,-25,32,61,15913.11,0.914,-1175.443,-3718.428,,,,,2007-01-05 09:07:14.867
6.697784,222,301,-2330,-42,12,-8,15913.65,3.792,-1173.057,-3716.867,,,,,2007-01-05 09:07:14.887
6.717773,238,365,-2166,-8,44,22,15913.514,2.596,-1174.754,-3716.914,,,,,2007-01-05 09:07:14.907
6.737762,252,381,-2136,22,0,1,15914.098,4.692,-1168.713,-3716.316,,,,,2007-01-05 09:07:14.927
6.757782,252,321,-2208,29,28,-4,15914.788,7.147,-1161.155,-3715.729,-279,-433,-314,,2007-01-05 09:07:14.947
6.777801,132,299,-2288,49,11,-4,15915.526,8.117,-1153.794,-3714.857,,,,,2007-01-05 09:07:14.967
6.797821,199,250,-2357,49,15,1,15917.545,22.181,-1133.366,-3712.438,,,,,2007-01-05 09:07:14.987
6.81781,174,330,-2117,86,99,22,15918.296,19.781,-1124.417,-3711.952,,,,,2007-01-05 09:07:15.007
6.837829,237,345,-2197,110,6,6,15919.875,28.17,-1106.182,-3710.605,,,,,2007-01-05 09:07:15.027
6.857849,173,319,-2222,88,39,6,15920.302,32.691,-1101.962,-3709.991,-279,-447,-317,,2007-01-05 09:07:15.047
6.877838,217,317,-2216,-14,13,-2,15919.868,26.506,-1110.443,-3709.373,,,,,2007-01-05 09:07:15.067
6.897857,212,356,-2190,-67,-26,8,15921.025,21.557,-1119.58,-3701.683,,,,,2007-01-05 09:07:15.087
6.917877,207,329,-2062,-35,58,81,15924.991,21.838,-1120.036,-3684.444,,,,,2007-01-05 09:07:15.107
6.937896,241,305,-2225,42,33,88,15927.301,21.742,-1116.513,-3675.518,,,,,2007-01-05 09:07:15.127
6.957885,197,355,-2062,-5,-12,53,15931.574,23.411,-1121.722,-3655.351,-266,-443,-320,,2007-01-05 09:07:15.147
6.977905,227,348,-2194,-38,48,124,15932.227,20.568,-1131.421,-3649.524,,,,,2007-01-05 09:07:15.167
6.997894,226,351,-2225,-97,18,2,15931.417,14.333,-1143.55,-3649.312,,,,,2007-01-05 09:07:15.187
7.017913,184,348,-2279,-38,-26,2,15931.962,18.698,-1137.655,-3648.757,,,,,2007-01-05 09:07:15.207
7.037933,306,342,-2205,67,39,-2,15933.385,17.84,-1130.6,-3644.737,,,,,2007-01-05 09:07:15.227
7.057952,478,466,-1848,15,-17,39,15934.599,19.099,-1129.139,-3639.872,-269,-435,-317,,2007-01-05 09:07:15.247
7.077941,342,367,-2037,37,0,-10,15939.251,20.09,-1128.647,-3619.597,,,,,2007-01-05 09:07:15.267
7.097992,202,315,-2236,77,-112,95,15939.279,31.989,-1128.621,-3619.393,,,,,2007-01-05 09:07:15.287
7.11795,265,346,-2161,-10,47,-8,15938.823,29.781,-1134.714,-3619.514,,,,,2007-01-05 09:07:15.307
7.13797,234,336,-2215,-55,-4,-6,15937.795,32.469,-1145.466,-3620.634,-269,-435,-317,30681,2007-01-05 09:07:15.327
7.157989,233,316,-2228,-35,29,-9,15937.326,35.168,-1149.714,-3621.324,-275,-443,-320,,2007-01-05 09:07:15.347
7.178009,217,329,-2196,-12,45,-11,15936.636,42.979,-1154.311,-3622.813,,,,,2007-01-05 09:07:15.367
7.197998,209,331,-2201,-22,63,-16,15935.846,46.277,-1162.413,-3623.659,,,,,2007-01-05 09:07:15.387
7.218017,230,337,-2222,-60,26,-9,15934.608,46.069,-1175.681,-3624.824,,,,,2007-01-05 09:07:15.407
7.238037,202,347,-2215,-78,26,-10,15933.528,43.804,-1187.887,-3625.62,,,,,2007-01-05 09:07:15.427
7.258026,212,368,-2215,-65,2,-3,15933.235,37.822,-1193.175,-3625.241,-265,-445,-317,,2007-01-05 09:07:15.447
7.278045,209,345,-2184,-7,-15,3,15934.504,37.763,-1181.122,-3623.61,,,,,2007-01-05 09:07:15.467
7.298065,215,321,-2218,104,0,11,15936.487,35.35,-1162.952,-3620.79,,,,,2007-01-05 09:07:15.487
7.318054,80,243,-2314,79,-42,17,15939.449,30.104,-1156.148,-3609.962,,,,,2007-01-05 09:07:15.507
7.338073,257,386,-2532,1,31,148,15948.084,30.008,-1160.253,-3570.288,,,,,2007-01-05 09:07:15.527
7.358093,239,296,-2249,-166,122,354,15953.678,31.067,-1156.964,-3546.273,-282,-448,-322,,2007-01-05 09:07:15.547
7.378082,203,362,-2229,-92,41,41,15951.965,30.012,-1176.192,-3547.663,,,,,2007-01-05 09:07:15.567
7.398101,204,337,-2228,-102,-12,-4,15951.664,25.061,-1182.11,-3547.088,,,,,2007-01-05 09:07:15.587
7.418121,230,316,-2166,7,46,-6,15952.141,30.404,-1176.022,-3546.924,,,,,2007-01-05 09:07:15.607
7.438201,199,319,-2240,41,20,0,15951.943,35.197,-1176.55,-3547.594,,,,,2007-01-05 09:07:15.627
; 7 stopping logging: USB connected,,,,,,,,,,,,,,,
