;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC3016FE411C6,,,,,,,,,,,
;Start_time, 2007-01-06, 01:28:54.516,2007-01-06 01:28:54.516,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,3958, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
0.001587,-2084,120,-129,0,0,0,11835.865,11118.152,1098.437,1878.259,,,,,2007-01-06 01:28:54.518
0.016235,-2069,145,-165,-1,-2,0,11835.821,11118.169,1098.398,1878.461,,,,,2007-01-06 01:28:54.532
0.036255,-2059,123,-172,-1,-1,-3,11835.774,11118.208,1098.487,1878.471,,,,,2007-01-06 01:28:54.552
0.056274,-2080,120,-159,2,0,1,11835.761,11118.244,1098.325,1878.434,-820,-1135,4,34173,2007-01-06 01:28:54.572
0.076294,-2077,120,-170,-1,0,-2,11835.686,11118.344,1098.276,1878.343,,,,,2007-01-06 01:28:54.592
0.096283,-2075,121,-175,-2,-1,1,11835.709,11118.297,1098.057,1878.608,,,,,2007-01-06 01:28:54.612
0.116302,-2065,124,-139,-3,-1,3,11835.801,11118.203,1098.058,1878.588,,,,,2007-01-06 01:28:54.632
0.136322,-2077,116,-134,-2,-1,0,11835.77,11118.21,1098.091,1878.716,,,,,2007-01-06 01:28:54.652
0.156341,-2057,117,-163,0,0,0,11835.697,11118.294,1098.12,1878.666,-822,-1140,3,,2007-01-06 01:28:54.672
0.17633,-2076,118,-140,0,2,-1,11835.817,11118.138,1098.116,1878.838,,,,,2007-01-06 01:28:54.692
0.19635,-2058,117,-141,0,0,-1,11835.798,11118.164,1098.135,1878.79,,,,,2007-01-06 01:28:54.712
0.216369,-2069,125,-157,-1,-2,-1,11835.75,11118.185,1098.242,1878.902,,,,,2007-01-06 01:28:54.732
0.236389,-2052,115,-136,0,0,-1,11835.807,11118.089,1098.285,1879.086,,,,,2007-01-06 01:28:54.752
0.256378,-2051,119,-146,-1,-1,1,11835.779,11118.118,1098.376,1879.036,-816,-1139,-1,,2007-01-06 01:28:54.772
