;Title, http://www.gcdataconcepts.com, HAM-IMU+alt, MPU9250 BMP280,,,,,,,,,,,,,
;Version,1379, Build date, Jan 12 2018,  SN:CCDC50029F4C138,,,,,,,,,,,,
;Start_time, 2018-06-15, 18:45:09.371,2018-06-15 18:45:09.371,,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,4176, mv,,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,,
;BMP280 SI,0.5,s ,,,,,,,,,,,,,,
;Deadband,0, counts,,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, P, T,Date Time
0.011353,-11,133,-2105,-27,-85,11,16064.6,-2949.541,-1231.528,384.193,-195,-1258,-261,100137,30650,2018-06-15 18:45:09.382
0.011688,-17,131,-2144,-26,-83,9,16062.746,-2958.141,-1234.634,385.631,,,,,,2018-06-15 18:45:09.383
0.01593,-34,132,-2127,-28,-85,11,16060.962,-2966.44,-1237.556,386.796,,,,,,2018-06-15 18:45:09.387
0.035919,-29,139,-2132,-26,-85,9,16059.132,-2974.855,-1240.619,388.338,,,,,,2018-06-15 18:45:09.407
0.075897,-18,128,-2159,-27,-84,11,16057.32,-2983.251,-1243.453,389.799,-195,-1258,-261,100139,30660,2018-06-15 18:45:09.447
0.076233,-18,97,-2123,-26,-83,12,16055.52,-2991.561,-1246.305,391.134,,,,,,2018-06-15 18:45:09.447
0.095886,-17,145,-2131,-26,-84,9,16053.689,-2999.89,-1249.415,392.596,-191,-1251,-270,,,2018-06-15 18:45:09.467
0.115875,-17,127,-2158,-29,-84,11,16051.837,-3008.318,-1252.478,394.055,,,,,,2018-06-15 18:45:09.487
0.135864,-7,139,-2122,-29,-85,11,16050.02,-3016.59,-1255.492,395.254,,,,,,2018-06-15 18:45:09.507
0.155853,16,142,-2140,-28,-84,9,16048.175,-3024.966,-1258.528,396.485,,,,,,2018-06-15 18:45:09.527
0.175842,-12,124,-2130,-28,-85,8,16046.341,-3033.284,-1261.498,397.745,-200,-1251,-268,,,2018-06-15 18:45:09.547
0.195801,-26,135,-2122,-29,-83,9,16044.48,-3041.712,-1264.449,399.054,,,,,,2018-06-15 18:45:09.567
0.21582,-15,116,-2130,-29,-83,9,16042.616,-3050.194,-1267.247,400.375,,,,,,2018-06-15 18:45:09.587
0.235779,-1,134,-2135,-28,-85,9,16040.76,-3058.542,-1270.201,401.699,,,,,,2018-06-15 18:45:09.607
0.255768,-20,136,-2129,-27,-84,9,16038.936,-3066.795,-1272.983,402.803,,,,,,2018-06-15 18:45:09.627
0.275757,-22,126,-2117,-28,-85,9,16037.08,-3075.048,-1276.067,404.028,-194,-1252,-265,,,2018-06-15 18:45:09.647
0.295746,-20,124,-2112,-28,-83,9,16035.211,-3083.373,-1279.135,405.069,,,,,,2018-06-15 18:45:09.667
0.315735,-18,117,-2111,-28,-84,8,16033.367,-3091.548,-1282.113,406.335,,,,,,2018-06-15 18:45:09.687
0.335724,-12,143,-2151,-27,-83,9,16031.507,-3099.836,-1284.943,407.619,,,,,,2018-06-15 18:45:09.707
0.355713,4,129,-2144,-28,-85,11,16029.652,-3107.989,-1287.969,408.934,,,,,,2018-06-15 18:45:09.727
0.375702,-1,135,-2111,-28,-83,9,16027.784,-3116.214,-1290.92,410.269,-186,-1253,-261,,,2018-06-15 18:45:09.747
