;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC30163044EA8,,,,,,,,,,,
;Start_time, 2017-11-29, 14:16:23.595,2017-11-29 14:16:23.595,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,3796, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
9.371674,-63,229,-2066,7,16,-18,14759.807,333.638,1289.122,-6986.443,562,-359,-49,,2017-11-29 14:16:32.967
9.391663,-55,232,-2067,9,16,-21,14758.661,335.842,1285.084,-6989.501,,,,,2017-11-29 14:16:32.987
9.412049,-44,246,-2075,8,16,-19,14757.443,338.16,1281.117,-6992.69,,,,,2017-11-29 14:16:33.007
9.431641,-72,241,-2075,9,17,-20,14756.181,340.347,1277.003,-6995.997,,,,,2017-11-29 14:16:33.027
9.45166,-74,225,-2085,9,17,-19,14754.917,342.464,1272.801,-6999.325,,,,,2017-11-29 14:16:33.047
9.471649,-56,241,-2071,7,15,-21,14753.656,344.799,1268.644,-7002.623,646,-380,-101,,2017-11-29 14:16:33.067
9.491638,-68,232,-2051,8,18,-21,14752.491,346.953,1264.445,-7005.729,,,,,2017-11-29 14:16:33.087
9.512024,-59,246,-2072,6,17,-19,14751.36,349.158,1260.287,-7008.751,,,,,2017-11-29 14:16:33.107
9.531647,-49,233,-2116,7,17,-19,14750.275,351.334,1255.967,-7011.7,,,,,2017-11-29 14:16:33.127
9.551636,-62,248,-2075,6,18,-18,14749.078,353.506,1251.924,-7014.832,,,,,2017-11-29 14:16:33.147
9.571655,-68,237,-2098,8,18,-18,14747.856,355.687,1247.658,-7018.05,735,-364,-90,,2017-11-29 14:16:33.167
9.591614,-63,247,-2101,7,17,-18,14746.661,357.764,1243.316,-7021.225,,,,,2017-11-29 14:16:33.187
9.612,-47,244,-2076,6,17,-17,14745.519,359.863,1239.294,-7024.226,,,,,2017-11-29 14:16:33.207
9.631623,-52,232,-2108,7,16,-17,14744.291,362.02,1235.058,-7027.438,,,,,2017-11-29 14:16:33.227
9.651612,-57,227,-2091,8,16,-17,14743.142,364.144,1230.814,-7030.482,,,,,2017-11-29 14:16:33.247
9.671601,-59,249,-2074,8,19,-18,14742.051,366.194,1226.817,-7033.362,830,-349,-84,,2017-11-29 14:16:33.267
9.69159,-57,221,-2096,7,17,-18,14740.802,368.385,1222.856,-7036.555,,,,,2017-11-29 14:16:33.287
9.711975,-49,240,-2055,9,16,-18,14739.489,370.535,1218.687,-7039.915,,,,,2017-11-29 14:16:33.307
9.731598,-69,241,-2113,9,17,-19,14738.244,372.824,1214.753,-7043.08,,,,,2017-11-29 14:16:33.327
9.751587,-39,245,-2103,9,18,-19,14737.035,375.073,1210.615,-7046.202,,,,,2017-11-29 14:16:33.347
9.771576,-46,240,-2072,6,17,-19,14735.713,377.191,1206.501,-7049.558,919,-385,-118,26896,2017-11-29 14:16:33.367
9.791657,-63,246,-2091,8,18,-20,14734.442,379.24,1202.467,-7052.794,,,,,2017-11-29 14:16:33.387
9.811951,-73,247,-2078,6,16,-20,14733.134,381.382,1198.386,-7056.104,,,,,2017-11-29 14:16:33.407
9.831574,-58,217,-2065,7,18,-19,14731.883,383.462,1194.408,-7059.277,,,,,2017-11-29 14:16:33.427
9.851563,-66,228,-2079,8,17,-18,14730.655,385.711,1190.41,-7062.392,,,,,2017-11-29 14:16:33.447
9.871552,-52,248,-2103,7,18,-20,14729.387,387.827,1186.232,-7065.624,1007,-383,-118,,2017-11-29 14:16:33.467
9.891541,-51,238,-2064,6,17,-21,14728.109,389.893,1182.254,-7068.841,,,,,2017-11-29 14:16:33.487
9.911926,-52,240,-2100,7,16,-19,14726.897,392.092,1178.268,-7071.908,,,,,2017-11-29 14:16:33.507
9.931549,-58,230,-2058,7,17,-18,14725.621,394.179,1174.129,-7075.137,,,,,2017-11-29 14:16:33.527
9.951538,-73,232,-2060,8,17,-19,14724.335,396.349,1170.11,-7078.357,,,,,2017-11-29 14:16:33.547
9.971527,-65,230,-2099,8,18,-17,14723.187,398.652,1166.196,-7081.26,1117,-363,-71,,2017-11-29 14:16:33.567
9.991547,-74,228,-2060,8,19,-18,14722.042,400.709,1162.123,-7084.194,,,,,2017-11-29 14:16:33.587
10.011902,-74,229,-2069,7,18,-17,14720.904,403.015,1158.034,-7087.098,,,,,2017-11-29 14:16:33.607
10.031525,-76,231,-2075,7,18,-17,14719.612,405.172,1154.136,-7090.293,,,,,2017-11-29 14:16:33.627
10.051514,-53,244,-2077,8,18,-20,14718.354,407.313,1150.238,-7093.416,,,,,2017-11-29 14:16:33.647
10.071503,-49,239,-2078,9,16,-20,14717.163,409.335,1146.249,-7096.415,1193,-311,-32,,2017-11-29 14:16:33.667
10.091492,-59,225,-2064,8,15,-18,14715.853,411.267,1142.362,-7099.647,,,,,2017-11-29 14:16:33.686
10.111878,-55,240,-2107,9,18,-19,14714.684,413.382,1138.513,-7102.563,,,,,2017-11-29 14:16:33.707
10.1315,-48,242,-2100,8,17,-19,14713.341,415.517,1134.684,-7105.833,,,,,2017-11-29 14:16:33.726
10.151489,-63,246,-2068,9,17,-19,14712.044,417.774,1130.843,-7108.999,,,,,2017-11-29 14:16:33.746
10.171509,-78,244,-2070,8,18,-20,14710.721,420.007,1126.872,-7112.235,1291,-388,-97,,2017-11-29 14:16:33.767
10.191498,-64,245,-2058,6,17,-20,14709.436,422.059,1123.009,-7115.381,,,,,2017-11-29 14:16:33.786
10.211884,-58,239,-2100,7,17,-17,14708.132,424.136,1119.069,-7118.572,,,,,2017-11-29 14:16:33.807
10.231476,-57,238,-2075,7,17,-20,14706.873,426.267,1115.227,-7121.648,,,,,2017-11-29 14:16:33.826
10.251465,-49,242,-2074,8,17,-19,14705.62,428.646,1111.41,-7124.689,,,,,2017-11-29 14:16:33.846
10.271485,-66,227,-2097,11,18,-19,14704.232,430.761,1107.507,-7128.034,1352,-378,-191,26929,2017-11-29 14:16:33.866
10.291474,-62,240,-2107,7,17,-20,14703.079,432.837,1103.547,-7130.9,,,,,2017-11-29 14:16:33.886
10.311829,-57,241,-2072,6,18,-18,14701.743,434.829,1099.781,-7134.115,,,,,2017-11-29 14:16:33.907
10.331452,-55,246,-2088,8,17,-18,14700.525,436.82,1095.968,-7137.09,,,,,2017-11-29 14:16:33.926
10.351441,-44,238,-2077,11,17,-19,14699.177,438.771,1092.041,-7140.348,,,,,2017-11-29 14:16:33.946
10.37146,-66,238,-2098,7,16,-21,14697.995,440.737,1088.184,-7143.247,1371,-383,-327,,2017-11-29 14:16:33.966
10.391449,-53,249,-2071,7,16,-18,14696.724,442.953,1084.329,-7146.31,,,,,2017-11-29 14:16:33.986
10.411865,-49,251,-2061,8,18,-21,14695.547,444.99,1080.683,-7149.157,,,,,2017-11-29 14:16:34.007
10.431458,-77,233,-2094,8,16,-16,14694.333,447.11,1076.869,-7152.095,,,,,2017-11-29 14:16:34.026
10.451447,-48,245,-2074,8,17,-19,14693.044,449.109,1073.138,-7155.178,,,,,2017-11-29 14:16:34.046
10.471436,-53,250,-2083,9,16,-17,14691.821,451.233,1069.412,-7158.112,1356,-349,-406,,2017-11-29 14:16:34.066
10.491425,-42,231,-2113,11,16,-18,14690.599,453.321,1065.703,-7161.041,,,,,2017-11-29 14:16:34.086
10.51178,-54,244,-2064,8,18,-19,14689.343,455.237,1062.068,-7164.035,,,,,2017-11-29 14:16:34.107
10.531403,-55,250,-2083,8,16,-19,14688.041,457.25,1058.462,-7167.11,,,,,2017-11-29 14:16:34.126
10.551392,-55,249,-2071,9,16,-20,14686.811,459.201,1054.594,-7170.074,,,,,2017-11-29 14:16:34.146
10.571411,-49,257,-2064,6,17,-18,14685.551,461.278,1050.799,-7173.079,1369,-355,-465,,2017-11-29 14:16:34.166
10.5914,-52,226,-2091,6,17,-19,14684.253,463.337,1047.031,-7176.155,,,,,2017-11-29 14:16:34.186
10.611786,-65,246,-2096,8,18,-20,14682.977,465.265,1043.267,-7179.188,,,,,2017-11-29 14:16:34.207
10.631378,-62,227,-2095,9,17,-19,14681.613,467.096,1039.43,-7182.415,,,,,2017-11-29 14:16:34.226
10.651398,-40,234,-2094,7,17,-22,14680.284,469.155,1035.741,-7185.529,,,,,2017-11-29 14:16:34.246
10.671387,-61,240,-2071,8,17,-19,14678.969,471.078,1031.992,-7188.628,1432,-323,-473,,2017-11-29 14:16:34.266
10.691376,-61,235,-2077,8,16,-20,14677.596,473.108,1028.515,-7191.797,,,,,2017-11-29 14:16:34.286
10.711762,-70,227,-2065,7,16,-20,14676.329,474.812,1024.707,-7194.813,,,,,2017-11-29 14:16:34.307
10.731384,-63,238,-2093,5,15,-17,14675.032,476.93,1021.056,-7197.837,,,,,2017-11-29 14:16:34.326
10.751373,-55,239,-2077,9,18,-18,14673.708,478.843,1017.33,-7200.935,,,,,2017-11-29 14:16:34.346
10.771363,-54,215,-2095,9,16,-20,14672.275,480.986,1013.574,-7204.241,1550,-268,-401,26939,2017-11-29 14:16:34.366
10.791352,-55,239,-2098,6,18,-21,14670.891,482.904,1009.834,-7207.457,,,,,2017-11-29 14:16:34.386
10.811737,-56,256,-2060,7,16,-20,14669.523,484.866,1006.081,-7210.633,,,,,2017-11-29 14:16:34.407
10.83136,-46,232,-2087,6,17,-19,14668.153,486.764,1002.459,-7213.796,,,,,2017-11-29 14:16:34.426
10.851349,-78,225,-2097,8,17,-21,14666.749,488.727,998.963,-7217.002,,,,,2017-11-29 14:16:34.446
10.871338,-76,228,-2079,9,15,-20,14665.368,490.597,995.586,-7220.148,1555,-237,-424,,2017-11-29 14:16:34.466
10.891327,-52,233,-2081,9,16,-20,14664.195,492.479,991.882,-7222.912,,,,,2017-11-29 14:16:34.486
10.911713,-45,241,-2064,8,16,-16,14662.829,494.499,988.265,-7226.041,,,,,2017-11-29 14:16:34.507
10.931336,-54,239,-2081,8,17,-21,14661.493,496.16,984.839,-7229.106,,,,,2017-11-29 14:16:34.526
10.951325,-64,249,-2049,7,16,-19,14660.191,497.972,981.333,-7232.098,,,,,2017-11-29 14:16:34.546
10.971314,-71,244,-2057,7,17,-20,14658.818,500.061,977.785,-7235.216,1557,-173,-431,,2017-11-29 14:16:34.566
10.991303,-56,223,-2059,8,17,-19,14657.481,502.023,974.059,-7238.292,,,,,2017-11-29 14:16:34.586
11.011749,-52,228,-2074,7,17,-20,14656.077,504.002,970.49,-7241.477,,,,,2017-11-29 14:16:34.607
11.031311,-61,248,-2078,8,17,-20,14654.705,505.991,966.925,-7244.591,,,,,2017-11-29 14:16:34.626
11.051361,-55,254,-2069,8,16,-20,14653.364,507.813,963.248,-7247.665,,,,,2017-11-29 14:16:34.646
11.071289,-79,215,-2104,9,17,-19,14652.067,509.803,959.672,-7250.62,1564,-178,-445,,2017-11-29 14:16:34.666
11.091278,-40,251,-2090,8,15,-18,14650.784,511.87,956.17,-7253.529,,,,,2017-11-29 14:16:34.686
11.111664,-50,223,-2086,7,16,-18,14649.39,513.759,952.593,-7256.681,,,,,2017-11-29 14:16:34.707
11.131287,-71,232,-2071,8,19,-20,14648.131,515.627,949.039,-7259.555,,,,,2017-11-29 14:16:34.726
11.151337,-62,242,-2095,6,16,-17,14646.774,517.642,945.368,-7262.627,,,,,2017-11-29 14:16:34.746
11.171265,-55,248,-2069,8,17,-18,14645.434,519.562,941.859,-7265.65,,,,,2017-11-29 14:16:34.766
11.191254,-73,227,-2075,8,17,-19,14644.097,521.381,938.266,-7268.677,1575,-174,-462,,2017-11-29 14:16:34.786
11.21164,-53,224,-2089,7,17,-20,14642.698,523.22,934.86,-7271.802,,,,,2017-11-29 14:16:34.807
11.231262,-60,227,-2079,9,16,-18,14641.419,524.984,931.371,-7274.697,,,,,2017-11-29 14:16:34.826
11.251251,-68,253,-2075,8,15,-19,14640.153,526.799,927.966,-7277.548,,,,,2017-11-29 14:16:34.846
11.27124,-75,232,-2070,9,17,-19,14638.719,528.523,924.476,-7280.753,1575,-174,-462,26953,2017-11-29 14:16:34.866
11.291229,-57,238,-2071,8,18,-21,14637.381,530.539,921.097,-7283.723,1606,-176,-469,,2017-11-29 14:16:34.886
11.311615,-60,223,-2096,7,16,-20,14636.044,532.577,917.604,-7286.701,,,,,2017-11-29 14:16:34.907
11.331238,-62,242,-2079,9,18,-20,14634.735,534.602,913.883,-7289.65,,,,,2017-11-29 14:16:34.926
11.351227,-72,246,-2070,6,19,-17,14633.447,536.359,910.453,-7292.534,,,,,2017-11-29 14:16:34.946
11.371216,-58,225,-2094,9,15,-18,14632.041,538.233,906.877,-7295.662,,,,,2017-11-29 14:16:34.966
11.391236,-51,239,-2043,7,18,-21,14630.743,540.111,903.447,-7298.551,1634,-188,-492,,2017-11-29 14:16:34.986
11.411621,-63,246,-2074,9,18,-18,14629.388,541.97,900.053,-7301.549,,,,,2017-11-29 14:16:35.007
11.431214,-63,240,-2067,9,16,-19,14628.083,543.823,896.896,-7304.414,,,,,2017-11-29 14:16:35.026
11.451203,-61,244,-2103,11,15,-18,14626.788,545.734,893.375,-7307.295,,,,,2017-11-29 14:16:35.046
11.471222,-70,250,-2083,7,17,-17,14625.578,547.634,889.61,-7310.034,,,,,2017-11-29 14:16:35.066
11.491211,-52,241,-2091,7,19,-18,14624.173,549.608,886.241,-7313.105,1657,-194,-500,,2017-11-29 14:16:35.086
11.511597,-54,237,-2077,8,16,-21,14622.768,551.522,882.83,-7316.182,,,,,2017-11-29 14:16:35.107
11.531189,-80,250,-2078,7,19,-22,14621.376,553.54,879.467,-7319.217,,,,,2017-11-29 14:16:35.126
11.551178,-69,245,-2078,9,17,-18,14620.021,555.373,875.867,-7322.215,,,,,2017-11-29 14:16:35.146
11.571198,-75,230,-2085,6,17,-20,14618.579,557.335,872.368,-7325.362,,,,,2017-11-29 14:16:35.166
11.591187,-54,233,-2094,8,18,-20,14617.18,559.157,868.961,-7328.419,1668,-194,-512,,2017-11-29 14:16:35.186
11.611572,-45,234,-2066,7,18,-19,14615.733,560.874,865.699,-7331.559,,,,,2017-11-29 14:16:35.207
11.631165,-55,244,-2078,7,16,-21,14614.251,562.655,862.238,-7334.785,,,,,2017-11-29 14:16:35.226
11.651154,-52,241,-2081,9,17,-21,14612.981,564.52,858.864,-7337.568,,,,,2017-11-29 14:16:35.246
11.671173,-62,238,-2077,7,17,-18,14611.597,566.274,855.419,-7340.589,,,,,2017-11-29 14:16:35.266
11.691162,-69,235,-2086,6,16,-19,14610.234,568.134,851.77,-7343.583,1702,-211,-489,,2017-11-29 14:16:35.286
11.711548,-71,232,-2066,5,17,-20,14608.802,569.877,848.549,-7346.669,,,,,2017-11-29 14:16:35.307
11.73114,-55,250,-2087,7,16,-19,14607.45,571.806,845.015,-7349.615,,,,,2017-11-29 14:16:35.326
11.75116,-52,248,-2087,6,18,-18,14606.02,573.587,841.605,-7352.708,,,,,2017-11-29 14:16:35.346
11.771149,-53,239,-2065,9,17,-21,14604.677,575.341,838.545,-7355.587,1702,-211,-489,26990,2017-11-29 14:16:35.366
11.791138,-59,218,-2088,8,18,-17,14603.313,577.148,835.319,-7358.52,2821,-555,120,,2017-11-29 14:16:35.386
11.811524,-68,251,-2103,8,15,-18,14602.005,579.026,832.133,-7361.33,,,,,2017-11-29 14:16:35.407
11.831146,-49,231,-2098,8,17,-18,14600.661,580.869,828.812,-7364.223,,,,,2017-11-29 14:16:35.426
11.851105,-59,251,-2076,9,18,-19,14599.417,582.375,825.384,-7366.955,,,,,2017-11-29 14:16:35.446
11.871124,-71,238,-2048,5,16,-15,14598.071,584.002,821.885,-7369.884,,,,,2017-11-29 14:16:35.466
11.891236,-70,221,-2090,8,18,-20,14596.705,586.078,818.338,-7372.819,4456,-2860,3523,,2017-11-29 14:16:35.486
11.911499,-53,245,-2069,8,22,-17,14595.385,587.927,814.752,-7375.683,,,,,2017-11-29 14:16:35.506
11.931122,-49,240,-2097,5,18,-18,14594.058,589.779,811.372,-7378.533,,,,,2017-11-29 14:16:35.526
11.951111,-63,231,-2089,6,19,-20,14592.714,591.579,807.97,-7381.419,,,,,2017-11-29 14:16:35.546
11.9711,-60,237,-2067,7,17,-18,14591.299,594.161,804.807,-7384.354,,,,,2017-11-29 14:16:35.566
11.991089,-64,245,-2085,11,19,-20,14589.811,596.001,801.518,-7387.503,1852,-6104,6897,,2017-11-29 14:16:35.586
12.011475,-60,240,-2068,8,18,-19,14588.348,598.033,798.357,-7390.57,,,,,2017-11-29 14:16:35.606
12.031067,-68,229,-2080,11,18,-20,14586.937,599.93,794.941,-7393.568,,,,,2017-11-29 14:16:35.626
12.051087,-65,246,-2076,8,18,-20,14585.471,601.717,791.508,-7396.683,,,,,2017-11-29 14:16:35.646
12.071076,-58,224,-2109,6,19,-19,14584.168,603.452,788,-7399.484,,,,,2017-11-29 14:16:35.666
12.091065,-64,242,-2069,6,16,-19,14582.812,605.198,784.833,-7402.351,-1569,-8812,4986,,2017-11-29 14:16:35.686
12.11145,-52,232,-2060,8,16,-19,14581.405,606.861,781.507,-7405.338,,,,,2017-11-29 14:16:35.706
12.131073,-68,231,-2087,7,17,-19,14579.983,608.758,778.166,-7408.332,,,,,2017-11-29 14:16:35.726
12.151062,-69,244,-2096,8,17,-18,14578.665,610.478,774.929,-7411.123,,,,,2017-11-29 14:16:35.746
12.171051,-73,237,-2098,7,20,-19,14577.252,612.276,771.514,-7414.11,,,,,2017-11-29 14:16:35.766
12.19104,-48,230,-2071,8,19,-19,14575.888,614.148,768.263,-7416.975,-3289,-10264,3531,,2017-11-29 14:16:35.786
12.211426,-72,232,-2074,8,18,-18,14574.599,615.992,765.173,-7419.674,,,,,2017-11-29 14:16:35.806
12.23111,-53,232,-2081,9,18,-18,14573.256,617.797,762.024,-7422.484,,,,,2017-11-29 14:16:35.826
12.251038,-61,243,-2084,8,16,-17,14571.887,619.693,758.802,-7425.344,,,,,2017-11-29 14:16:35.846
12.271027,-62,258,-2085,9,18,-19,14570.636,621.531,755.619,-7427.971,-3289,-10264,3531,26995,2017-11-29 14:16:35.866
12.291046,-62,247,-2103,8,18,-17,14569.213,623.264,752.36,-7430.945,-5066,-9136,3009,,2017-11-29 14:16:35.886
12.311402,-80,242,-2052,6,17,-19,14567.815,625.184,749.219,-7433.843,,,,,2017-11-29 14:16:35.906
12.331024,-62,231,-2086,8,17,-19,14566.543,627.076,745.984,-7436.5,,,,,2017-11-29 14:16:35.926
12.351013,-64,231,-2075,7,17,-17,14565.112,628.846,742.856,-7439.467,,,,,2017-11-29 14:16:35.946
12.371002,-51,229,-2086,9,16,-19,14563.716,630.662,739.695,-7442.36,,,,,2017-11-29 14:16:35.966
12.390991,-56,245,-2097,7,17,-20,14562.362,632.456,736.397,-7445.183,-5918,-8032,2513,,2017-11-29 14:16:35.986
12.411316,-84,253,-2038,6,18,-19,14560.827,634.013,733.09,-7448.379,,,,,2017-11-29 14:16:36.006
12.430939,-57,234,-2105,6,15,-21,14559.445,635.541,730.019,-7451.252,,,,,2017-11-29 14:16:36.026
12.450958,-69,240,-2096,7,16,-18,14558.075,637.24,726.762,-7454.101,,,,,2017-11-29 14:16:36.046
; 12 stopping logging: shutdown: switched off,,,,,,,,,,,,,,,
