;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC30161C28AA2,,,,,,,,,,,
;Start_time, 2018-06-16, 11:44:51.282,2018-06-16 11:44:51.282,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,4194, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
0.003357,1148,2765,422,-4020,-22301,-2074,12552.482,3663.139,-9854.928,576.488,511,240,148,35216,2018-06-16 11:44:51.285
0.023377,1314,2288,315,1104,-9293,-4033,12680.279,4147.357,-9504.369,335.144,,,,,2018-06-16 11:44:51.305
0.043335,469,2034,-185,1500,6618,-2530,12308.696,5564.526,-9183.385,1277.808,,,,,2018-06-16 11:44:51.325
0.063324,-915,1325,97,1564,10326,-225,11971.153,6366.409,-8951.742,2112.359,370,240,129,35200,2018-06-16 11:44:51.345
0.083344,285,2157,-401,813,4132,1066,12007.155,6235.913,-9021.997,1995.149,,,,,2018-06-16 11:44:51.365
0.103302,300,1958,-27,-1224,-3633,225,12255.121,5442.974,-9302.706,1442.607,,,,,2018-06-16 11:44:51.385
0.123291,793,1784,317,-662,-6267,552,12411.199,4839.669,-9475.368,1092.053,,,,,2018-06-16 11:44:51.405
0.14328,133,1853,35,-650,-2269,855,12234.886,4844.921,-9662.858,1378.01,,,,,2018-06-16 11:44:51.425
0.1633,206,1787,62,-992,3112,1859,11872.844,5279.291,-9773.306,2020.538,368,250,155,,2018-06-16 11:44:51.445
0.183258,348,1837,-205,-895,4910,1465,11468.07,5569.394,-9963.595,2574.378,,,,,2018-06-16 11:44:51.465
0.203278,76,2006,-118,-1487,2613,2313,11123.289,5431.755,-10322.046,2942.665,,,,,2018-06-16 11:44:51.485
0.223267,-64,2059,-502,-2063,528,3171,10731.98,5248.248,-10721.913,3279.713,,,,,2018-06-16 11:44:51.505
0.243225,-109,1894,-510,-2017,1301,3006,10380.444,5253.538,-10897.332,3785.539,,,,,2018-06-16 11:44:51.525
0.263214,-26,2101,-466,-448,2954,2299,10152.997,5383.78,-10825.585,4378.778,353,257,166,,2018-06-16 11:44:51.545
0.283203,97,2178,-672,568,3097,1565,10080.019,5305,-10743.347,4823.496,,,,,2018-06-16 11:44:51.565
0.303192,-684,1959,-167,1338,633,2247,10168.067,4855.588,-10733.323,5124.926,,,,,2018-06-16 11:44:51.585
0.323181,264,564,-668,1486,-1055,2495,10295.932,4467.881,-10712.252,5264.496,,,,,2018-06-16 11:44:51.605
0.34317,58,1240,-248,1384,-695,1373,10489.292,4079.38,-10591.32,5439.926,,,,,2018-06-16 11:44:51.625
0.363159,170,513,265,1977,-913,1825,10558.308,3666.282,-10602.471,5577.055,405,290,231,,2018-06-16 11:44:51.645
0.383149,-480,1309,574,1076,-1225,1945,10506.583,3411.205,-10665.57,5714.581,,,,,2018-06-16 11:44:51.665
0.523743,-300,3907,1611,-507,285,1308,10277.104,3731.152,-10721.43,5826.318,,,,,2018-06-16 11:44:51.806
0.524079,1012,4769,-1531,-2629,2551,-1502,9696.282,4601.83,-10943.099,5786.993,,,,,2018-06-16 11:44:51.806
0.543091,-282,5150,-991,-4339,3332,-1104,9277.993,5008.258,-10894.335,6211.689,481,262,227,,2018-06-16 11:44:51.825
0.543427,-3618,3595,-1701,-239,4445,1052,9021.694,6031.302,-10220.982,6796.962,,,,,2018-06-16 11:44:51.825
0.56308,828,2539,-444,-62,15127,-5396,8438.105,7722.738,-8312.49,8276.193,481,262,227,35216,2018-06-16 11:44:51.845
0.563446,-595,2003,825,4710,11775,-1650,8293.607,7759.233,-7566.559,9066.035,,,,,2018-06-16 11:44:51.845
0.5831,-1192,1996,593,3190,3321,1162,8504.788,7118.894,-7736.907,9250.167,,,,,2018-06-16 11:44:51.865
0.583435,-969,1528,146,1585,-6885,2123,9306.636,5783.205,-9133.976,8058.917,,,,,2018-06-16 11:44:51.865
0.603028,-117,2423,360,-1180,-16849,143,10217.384,4256.53,-10389.19,6163.334,,,,,2018-06-16 11:44:51.885
0.603363,825,3053,149,212,-14803,-1882,10813.925,3566.424,-10691.583,4946.222,,,,,2018-06-16 11:44:51.885
0.60373,967,2852,-277,1068,-4289,-3072,11056.525,3873.691,-10367.15,4868.818,,,,,2018-06-16 11:44:51.886
0.623017,166,2659,6,1903,3528,-1663,11178.263,4256.87,-9804.74,5406.292,,,,,2018-06-16 11:44:51.905
0.643067,50,1802,203,3256,3661,289,11301.724,4251.114,-9431.927,5802.865,,,,,2018-06-16 11:44:51.925
0.662995,-265,1489,-28,1795,781,1143,11338.338,4006.987,-9419.794,5923.6,411,240,143,,2018-06-16 11:44:51.945
0.682953,-453,1293,-253,352,-1108,1038,11395.849,3821.164,-9472.392,5851.713,,,,,2018-06-16 11:44:51.965
0.702973,1436,1929,-166,481,-1027,-274,11551.651,3425.743,-9558.438,5647.594,,,,,2018-06-16 11:44:51.985
0.722962,-157,1278,324,592,-6231,2280,11652.224,2438.233,-9997.385,5173.819,,,,,2018-06-16 11:44:52.005
0.742951,354,1864,123,-560,-4639,373,11661.093,2561.696,-10018.348,5052.202,,,,,2018-06-16 11:44:52.025
0.76294,596,1928,-512,-221,1905,-1308,11605.102,3194.133,-9782.285,5278.395,468,256,161,,2018-06-16 11:44:52.045
0.782929,240,1457,-531,-12,4538,-1149,11553.541,3542.461,-9525.486,5627.361,,,,,2018-06-16 11:44:52.065
0.802918,-413,1128,490,1011,1642,718,11636.729,3206.985,-9495.589,5707.102,,,,,2018-06-16 11:44:52.085
0.822907,-428,1524,518,956,-2438,1223,11666.08,2912.518,-9720.607,5418.951,,,,,2018-06-16 11:44:52.105
0.842865,485,2284,-532,-1661,-2223,-990,11538.433,3119.102,-10046.802,4963.161,,,,,2018-06-16 11:44:52.125
0.862885,199,2886,-428,-2647,-725,-2113,11416.722,3345.688,-10240.685,4693.468,535,226,148,,2018-06-16 11:44:52.145
0.882874,19,3317,-212,-1527,63,-1080,11309.897,3583.697,-10332.116,4574.511,,,,,2018-06-16 11:44:52.165
0.902863,1193,2472,-898,-1300,719,-1186,11240.05,4080.079,-10239.08,4539.921,,,,,2018-06-16 11:44:52.185
0.950196,358,2134,-112,-148,2231,-1138,11169.745,4007.607,-10286.837,4668.222,,,,,2018-06-16 11:44:52.232
0.950562,-525,1935,68,-582,-750,1749,11023.079,3713.852,-10509.193,4763.541,,,,,2018-06-16 11:44:52.233
0.96283,142,1805,-301,-788,-663,1604,10865.175,3831.546,-10594.104,4844.337,508,223,145,,2018-06-16 11:44:52.245
