;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC30161C28AA2,,,,,,,,,,,
0.982819,168,2007,-189,-1012,1663,-337,10704.539,4144.238,-10557.547,5021.133,,,,,2018-06-16 11:44:52.265
1.002777,-110,2322,-285,-660,2065,-77,10549.093,4322.827,-10584.267,5141.841,,,,,2018-06-16 11:44:52.285
1.022766,121,2314,-512,-958,730,119,10456.971,4362.057,-10696.921,5063.153,,,,,2018-06-16 11:44:52.305
1.042755,154,2187,-326,-838,-723,-172,10470.756,4245.22,-10792.783,4928.756,,,,,2018-06-16 11:44:52.325
1.062744,14,1929,58,-28,-1175,235,10500.989,4131.117,-10825.056,4890.47,468,249,189,35230,2018-06-16 11:44:52.345
1.082764,92,2010,-200,76,-222,236,10441.891,4205.526,-10830.785,4940.646,,,,,2018-06-16 11:44:52.365
1.102722,332,2057,-531,-521,889,-70,10341.653,4341.806,-10841.173,5010.324,,,,,2018-06-16 11:44:52.385
1.122711,1448,476,-1971,-532,762,-84,10321.229,4370.887,-10850.825,5006.257,,,,,2018-06-16 11:44:52.405
1.142731,-896,4634,-2281,-99,-501,-488,10619.656,3731.23,-10796.222,5017.753,,,,,2018-06-16 11:44:52.425
1.16272,-1879,6045,-2567,1592,-3659,2271,10961.853,2712.422,-10969.614,4536.904,473,268,203,,2018-06-16 11:44:52.445
1.182679,-1771,6204,-1597,1253,-7686,2005,11873.335,929.681,-10763.992,3275.746,,,,,2018-06-16 11:44:52.465
1.202668,-3896,5364,1157,9107,-15225,813,13097.938,-1831.348,-9617.093,1016.503,,,,,2018-06-16 11:44:52.485
1.222657,-280,2972,1588,13376,-20760,-3645,13800.132,-3881.742,-7667.561,-2032.154,,,,,2018-06-16 11:44:52.505
1.242646,389,292,3700,14905,-16725,-4647,14120.562,-4856.261,-5465.548,-3948.327,,,,,2018-06-16 11:44:52.525
1.262665,1309,-411,2254,11916,-6784,-3266,14350.14,-4386.298,-4545.699,-4754.566,490,256,219,,2018-06-16 11:44:52.545
1.282624,601,69,757,4703,2830,-2121,14549.576,-3819.895,-4498.575,-4681.507,,,,,2018-06-16 11:44:52.565
1.302613,-1112,-31,197,-357,2558,935,14640.476,-3744.013,-4672.079,-4271.525,,,,,2018-06-16 11:44:52.585
1.322602,635,110,1398,-1243,1364,2018,14648.549,-3596.872,-5022.207,-3961.74,,,,,2018-06-16 11:44:52.605
1.342591,191,764,744,-3130,1979,1388,14533.555,-3435.235,-5885.661,-3281.665,,,,,2018-06-16 11:44:52.625
1.36258,-21,1169,178,-6338,4078,1935,14281.314,-2975.07,-7092.818,-2306.576,607,199,173,,2018-06-16 11:44:52.645
1.382569,-281,1537,387,-7482,6176,2538,13906.44,-2198.613,-8310.611,-1070.518,,,,,2018-06-16 11:44:52.665
1.402558,-570,2429,1025,-7904,8455,2690,13242.154,-1032.501,-9583.123,421.891,,,,,2018-06-16 11:44:52.685
1.449982,-1621,5227,735,-9524,10949,2680,11961.433,608.04,-10955.147,2230.034,,,,,2018-06-16 11:44:52.732
1.450348,-492,1695,-4052,-13008,14536,2564,10265.896,3754.803,-11372.913,4427.344,,,,,2018-06-16 11:44:52.732
1.462525,-19665,17016,8180,-6096,23947,-1280,9501.365,4979.5,-10869.937,5933.678,606,162,90,,2018-06-16 11:44:52.745
1.482514,774,976,240,-126,4612,1550,9334.101,4540.116,-11150.71,6029.84,,,,,2018-06-16 11:44:52.765
1.502503,-1278,3953,799,-572,-3605,3533,9010.877,4091.763,-11620.358,5955.19,,,,,2018-06-16 11:44:52.785
1.522492,-67,2744,1184,-2480,-536,1927,8702.239,4382.99,-11647.124,6151.451,,,,,2018-06-16 11:44:52.804
1.542481,1289,1166,-868,-949,2959,-486,8667.409,4657.907,-11424.084,6411.37,,,,,2018-06-16 11:44:52.824
1.56247,-371,1740,-1289,827,1968,-466,8718.806,4753.947,-11264.389,6552.204,552,240,218,35222,2018-06-16 11:44:52.844
1.582459,-558,2923,237,72,932,-296,9108.169,4787.801,-10947.84,6534.405,,,,,2018-06-16 11:44:52.864
1.602448,471,2540,258,4073,-1114,-2654,9827.721,4743.342,-10634.575,6021.449,,,,,2018-06-16 11:44:52.884
1.622437,561,2815,-80,1898,-3589,-3867,10318.184,4430.821,-10758.563,5156.708,,,,,2018-06-16 11:44:52.904
1.642426,314,3115,-611,-118,-6129,-1756,10600.143,3873.104,-11042.089,4375.354,,,,,2018-06-16 11:44:52.924
1.662415,395,2867,-285,92,-5215,-390,10876.853,3516.812,-11008.295,4071.728,537,260,243,,2018-06-16 11:44:52.944
1.682404,579,2429,-3,2046,-1239,-199,11137.164,3483.129,-10684.19,4256.162,,,,,2018-06-16 11:44:52.964
1.702393,142,2185,-2,2612,1414,258,11307.995,3384.51,-10393.727,4591.32,,,,,2018-06-16 11:44:52.984
1.722382,309,1768,218,2119,543,1452,11434.931,3044.651,-10274.572,4779.23,,,,,2018-06-16 11:44:53.004
1.742371,64,1560,73,1541,-1212,1668,11480.241,2669.865,-10266.679,4909.85,,,,,2018-06-16 11:44:53.024
1.76236,-241,1488,-357,628,-621,1840,11427.202,2572.893,-10221.479,5172.628,486,262,208,,2018-06-16 11:44:53.044
1.782349,-492,2073,-174,304,1450,1073,11472.404,2733.184,-10046.748,5330.285,,,,,2018-06-16 11:44:53.064
1.802338,222,2432,-173,844,1026,-1227,11687.201,2778.325,-9965.478,4981.457,,,,,2018-06-16 11:44:53.084
1.822327,386,2558,-233,627,-2682,-2093,11932.477,2310.333,-10115.19,4289.139,,,,,2018-06-16 11:44:53.104
1.842316,237,2511,-260,324,-5726,-1009,12130.966,1649.439,-10250.252,3672.436,,,,,2018-06-16 11:44:53.124
1.862366,266,2050,-85,916,-4477,-218,12332.347,1323.443,-10135.776,3444.301,507,249,161,,2018-06-16 11:44:53.144
1.882294,125,1585,59,1836,-812,-35,12534.649,1300.21,-9854.587,3537.593,,,,,2018-06-16 11:44:53.164
1.902283,-130,1333,-70,1998,868,201,12669.913,1271.72,-9632.182,3675.938,,,,,2018-06-16 11:44:53.184
1.922272,-150,1224,-2,1211,231,717,12762.133,1120.739,-9534.752,3660.031,,,,,2018-06-16 11:44:53.204
1.969666,236,1061,296,745,-1077,-90,12843.493,956.475,-9526.485,3436.767,,,,,2018-06-16 11:44:53.252
1.970032,389,1075,141,213,-1625,-695,12826.915,862.059,-9626.702,3238.698,,,,,2018-06-16 11:44:53.252
1.982209,389,1284,130,-820,-715,-365,12699.74,981.849,-9770.796,3274.073,529,244,156,,2018-06-16 11:44:53.264
2.002198,265,1618,57,-1373,1393,163,12467.394,1381.768,-9901.688,3612.036,,,,,2018-06-16 11:44:53.284
2.022187,165,1993,-168,-1925,3712,572,12107.546,2019.273,-10013.489,4182.739,,,,,2018-06-16 11:44:53.304
2.042206,44,2249,-324,-2378,5327,931,11639.637,2762.753,-10059.639,4911.731,,,,,2018-06-16 11:44:53.324
2.062165,-179,2152,-546,-2358,6319,1375,11105.169,3554.981,-9978.37,5736.275,550,208,125,35191,2018-06-16 11:44:53.344
2.082184,-488,2144,-460,-1895,6989,1311,10612.042,4339.887,-9732.522,6501.028,,,,,2018-06-16 11:44:53.364
2.102173,-370,2035,-673,-1198,6544,579,10262.379,5035.45,-9444.315,6969.086,,,,,2018-06-16 11:44:53.384
2.122132,-388,1953,-576,-932,4360,-722,10185.263,5423.986,-9304.946,6978.124,,,,,2018-06-16 11:44:53.404
2.142121,74,2578,-573,-591,281,-1576,10418.679,5404.202,-9400.662,6504.514,,,,,2018-06-16 11:44:53.424
2.16211,359,2388,-439,-352,-3713,-2196,10850.44,5021.757,-9626.033,5729.293,532,233,145,,2018-06-16 11:44:53.444
2.182129,375,2425,-73,248,-5904,-1896,11274.423,4454.046,-9816.468,5012.11,,,,,2018-06-16 11:44:53.464
2.202088,582,2315,-52,660,-5171,-1062,11519.729,4104.027,-9870.625,4632.386,,,,,2018-06-16 11:44:53.484
2.222077,522,2092,-2,689,-1716,-369,11538.419,4140.337,-9758.389,4788.711,,,,,2018-06-16 11:44:53.504
2.242096,223,2122,20,701,2323,703,11326.776,4520.412,-9512.434,5405.464,,,,,2018-06-16 11:44:53.524
2.262085,3,2130,-75,376,5392,1392,10915.657,5097.647,-9200.88,6216.24,457,250,157,,2018-06-16 11:44:53.544
2.282074,-164,2049,-315,-100,6482,1647,10413.929,5686.968,-8882.84,6981.336,,,,,2018-06-16 11:44:53.564
2.302033,-163,1926,-458,-399,6044,1436,9969.539,6174.033,-8583.264,7566.545,,,,,2018-06-16 11:44:53.584
2.322022,-86,1895,-400,-237,4617,929,9674.868,6490.308,-8344.852,7941.768,,,,,2018-06-16 11:44:53.604
2.342011,36,1949,-267,-21,2817,447,9528.908,6657.369,-8204.865,8123.728,,,,,2018-06-16 11:44:53.624
2.362,134,2125,-218,-41,1283,123,9445.84,6757.035,-8155.527,8187.88,473,251,144,,2018-06-16 11:44:53.644
2.381989,229,2181,-284,-309,760,23,9321.653,6902.386,-8100.271,8263.467,,,,,2018-06-16 11:44:53.664
2.401978,196,2254,-377,-423,1505,108,9106.074,7117.835,-7954.502,8460.329,,,,,2018-06-16 11:44:53.684
2.421967,126,2213,-328,-163,2560,432,8840.228,7325.439,-7750.43,8749.546,,,,,2018-06-16 11:44:53.704
2.441986,16,2125,-334,97,2690,726,8579.258,7471.738,-7599.48,9014.033,,,,,2018-06-16 11:44:53.724
2.489655,24,2138,-151,-99,1993,865,8368.694,7556.235,-7538.289,9191.186,412,234,135,,2018-06-16 11:44:53.772
2.489991,4,2110,-210,-254,1206,757,8174.227,7659.107,-7523.331,9292.739,,,,,2018-06-16 11:44:53.772
2.501923,24,2220,-287,-655,1172,510,7954.916,7841.396,-7473.392,9371.001,,,,,2018-06-16 11:44:53.784
2.521912,77,2299,-396,-910,1695,220,7702.186,8088.901,-7364.993,9457.184,,,,,2018-06-16 11:44:53.804
2.541901,81,2315,-458,-919,2027,112,7465.93,8303.542,-7259.582,9541.748,,,,,2018-06-16 11:44:53.824
2.56189,35,2464,-375,-730,1620,185,7283.995,8448.101,-7208.794,9593.837,385,248,134,35205,2018-06-16 11:44:53.844
2.581879,-28,2475,-335,-673,949,233,7161.706,8545.316,-7216.957,9593.669,,,,,2018-06-16 11:44:53.864
2.601868,50,2466,-338,-623,384,135,7094.934,8629.063,-7244.287,9547.613,,,,,2018-06-16 11:44:53.884
2.621857,81,2495,-355,-711,109,-91,7047.981,8714.221,-7289.544,9470.284,,,,,2018-06-16 11:44:53.904
2.641846,134,2482,-439,-769,-39,-106,7006.55,8791.516,-7333.762,9395.152,,,,,2018-06-16 11:44:53.924
2.661866,-26627,1866,-32767,-653,0,-104,6957.733,8851.992,-7364.985,9350.112,381,251,163,,2018-06-16 11:44:53.944
2.681824,184,2116,-822,-511,140,57,7298.261,8679.82,-7617.857,9044.323,,,,,2018-06-16 11:44:53.964
2.701813,44,1851,-576,-1187,-2631,-94,7315.147,8634.528,-7795.828,8921.55,,,,,2018-06-16 11:44:53.984
2.721863,1032,1754,-73,-540,199,378,7325.159,8791.031,-7615.425,8916.308,,,,,2018-06-16 11:44:54.004
2.741791,256,1908,-53,2,995,-1563,7278.063,8879.326,-7536.783,8934.187,,,,,2018-06-16 11:44:54.024
2.76178,518,1653,-360,-102,222,-28,7255.113,8860.91,-7619.643,8900.791,371,268,186,,2018-06-16 11:44:54.044
2.781769,394,1456,-349,-234,-657,639,7192.372,8711.172,-7801.806,8941.617,,,,,2018-06-16 11:44:54.064
2.801758,59,1434,-193,77,-403,1588,6982.221,8556.943,-7881.681,9183.781,,,,,2018-06-16 11:44:54.084
2.821747,-21,1281,-247,590,1438,2042,6645.841,8502.016,-7748.656,9588.653,,,,,2018-06-16 11:44:54.104
2.841767,-81,1089,-53,886,2758,1678,6344.983,8458.962,-7566.503,9968.481,,,,,2018-06-16 11:44:54.124
2.861725,-231,1044,-223,741,2038,1361,6154.885,8409.077,-7530.221,10155.591,357,268,219,,2018-06-16 11:44:54.144
2.881714,-96,1158,-177,33,508,938,6108.535,8378.043,-7596.657,10159.745,,,,,2018-06-16 11:44:54.164
2.901673,-188,1344,-181,-258,-416,205,6142.086,8396.848,-7645.751,10086.904,,,,,2018-06-16 11:44:54.184
2.921692,305,2216,-954,-280,-357,-413,5983.038,8633,-7269.975,10259.505,,,,,2018-06-16 11:44:54.204
2.941742,-514,2203,351,-105,3945,-1297,5867.183,9022.668,-6775.796,10329.164,,,,,2018-06-16 11:44:54.224
2.96167,-372,2351,607,-693,2207,-2066,5966.436,9352.506,-6535.444,10131.914,,,,,2018-06-16 11:44:54.244
2.993103,318,2832,-581,-1262,-154,-2381,6275.686,9547.121,-6578.05,9727.946,394,284,197,,2018-06-16 11:44:54.275
3.001648,484,2808,-178,-1456,-2465,-2050,6624.495,9580.454,-6823.725,9284.566,,,,,2018-06-16 11:44:54.284
3.021637,417,2716,-532,-1274,-3082,-916,6859.189,9452.525,-7171.33,8978.236,,,,,2018-06-16 11:44:54.304
3.041626,841,2255,-102,-543,-2696,412,6981.905,9307.836,-7312.835,8920.485,,,,,2018-06-16 11:44:54.324
3.061615,-91,2098,-278,721,-466,-216,6845.42,9289.7,-7177.134,9152.369,394,284,197,35164,2018-06-16 11:44:54.344
3.081665,-151,2033,-87,914,2338,864,6546.512,9378.768,-6861.774,9514.902,380,277,192,,2018-06-16 11:44:54.364
3.101593,8,1904,-181,730,3287,402,6301.865,9523.094,-6588.765,9727.321,,,,,2018-06-16 11:44:54.384
3.121582,6833,2958,10905,-77,1870,-31,6220.668,9609.86,-6555.28,9716.872,,,,,2018-06-16 11:44:54.404
3.141602,-6725,8750,827,-623,-124,-159,6725.237,9597.825,-6724.33,9266.7,,,,,2018-06-16 11:44:54.424
3.16156,278,1980,-175,155,-5817,-984,7230.797,9086.852,-7297.948,8962.147,,,,,2018-06-16 11:44:54.444
3.181549,755,1586,-538,124,-4873,1470,7400.185,8600.527,-7762.058,8913.702,322,277,229,,2018-06-16 11:44:54.464
3.201538,-701,2370,760,1211,-1941,2315,7337.904,8248.648,-7830.029,9232.607,,,,,2018-06-16 11:44:54.484
3.221497,625,540,-41,1826,1019,1957,7112.951,8188.411,-7556.371,9679.491,,,,,2018-06-16 11:44:54.503
3.241516,375,2018,-85,1268,3169,806,6877.806,8308.068,-7222.905,9996.842,,,,,2018-06-16 11:44:54.524
3.261505,199,1997,-334,556,2661,167,6665.367,8441.378,-6905.502,10250.146,,,,,2018-06-16 11:44:54.544
3.281494,173,2022,-401,465,2811,66,6446.756,8574.697,-6577.356,10492.27,330,258,219,,2018-06-16 11:44:54.563
3.301453,136,1953,-503,469,2588,50,6262.687,8688.131,-6291.738,10683.846,,,,,2018-06-16 11:44:54.583
3.321472,163,2056,-602,295,2093,-67,6136.752,8791.995,-6077.928,10795.152,,,,,2018-06-16 11:44:54.603
3.341431,102,2014,-638,3,1349,-197,6104.478,8846.733,-5996.212,10814.413,,,,,2018-06-16 11:44:54.623
3.36142,133,2031,-526,-44,173,-230,6176.412,8837.583,-6038.812,10757.195,,,,,2018-06-16 11:44:54.643
3.381409,158,2014,-422,-131,-910,-256,6311.563,8797.6,-6172.794,10634.775,379,261,161,,2018-06-16 11:44:54.663
3.401398,189,2035,-225,-289,-1440,-306,6475.182,8748.07,-6333.594,10481.617,,,,,2018-06-16 11:44:54.683
3.421418,257,2029,-148,-312,-1492,-363,6602.286,8732.821,-6447.773,10344.53,,,,,2018-06-16 11:44:54.703
3.441376,210,2034,-97,-341,-888,-425,6657.542,8786.091,-6457.919,10257.312,,,,,2018-06-16 11:44:54.723
3.461396,159,2113,-235,-357,105,-534,6621.092,8908.308,-6364.12,10234.09,,,,,2018-06-16 11:44:54.743
3.481354,97,2089,-256,-363,949,-421,6532.361,9028.513,-6249.405,10256.441,351,252,162,,2018-06-16 11:44:54.763
3.539643,56,2044,-233,-240,944,-180,6445.671,9122.394,-6165.298,10279.095,,,,,2018-06-16 11:44:54.822
3.539978,55,2055,-333,-308,760,-102,6360.211,9228.222,-6112.438,10269.428,,,,,2018-06-16 11:44:54.822
3.541321,42,2023,-300,-574,567,-121,6300.541,9337.076,-6114.272,10206.533,351,252,162,35189,2018-06-16 11:44:54.823
3.56131,23,2140,-287,-846,151,-163,6248.883,9450.55,-6178.13,10094.786,,,,,2018-06-16 11:44:54.843
3.581299,25,1937,-108,-1115,-192,-24,6217.049,9525.248,-6323.568,9953.183,343,260,166,,2018-06-16 11:44:54.863
3.601288,102,2078,-42,-1126,-723,205,6187.154,9578.692,-6505.81,9801.92,,,,,2018-06-16 11:44:54.883
3.621277,-300,2645,-2570,-1181,-695,300,6291.91,9505.71,-6689.657,9681.8,,,,,2018-06-16 11:44:54.903
3.641266,627,3060,-274,-257,-814,-187,6302.196,9606.882,-6590.233,9643.361,,,,,2018-06-16 11:44:54.923
3.661255,-175,2222,-65,-197,1089,-940,6259.133,9696.319,-6330.431,9755.292,,,,,2018-06-16 11:44:54.943
3.681244,179,2274,-259,580,1607,-757,6321.27,9768.163,-6134.578,9768.67,326,260,176,,2018-06-16 11:44:54.963
3.701233,406,2368,-320,479,-426,-1047,6625.442,9642.447,-6228.174,9631.822,,,,,2018-06-16 11:44:54.983
3.721314,178,2412,-392,378,-2449,-592,6839.91,9516.613,-6367.477,9515.271,,,,,2018-06-16 11:44:55.003
3.741211,1050,2496,509,151,-1197,-172,6914.404,9451.086,-6376.857,9520.457,,,,,2018-06-16 11:44:55.023
3.7612,-235,2179,-184,503,53,44,6720.981,9366.745,-6293.125,9794.106,,,,,2018-06-16 11:44:55.043
3.781189,-97,1996,97,1464,1988,1248,6399.655,9387.319,-5991.591,10171.475,345,261,233,,2018-06-16 11:44:55.063
3.801178,75,1758,339,994,3305,1166,6072.302,9406.009,-5782.851,10471.303,,,,,2018-06-16 11:44:55.083
3.821167,-231,2269,-180,318,1959,1117,5707.674,9505.157,-5818.17,10566.871,,,,,2018-06-16 11:44:55.103
3.841156,-175,1775,-647,-1135,1169,1674,5347.234,9627.12,-5857.513,10623.117,,,,,2018-06-16 11:44:55.123
3.861145,270,1882,-69,-1019,1757,988,5032.947,9741.446,-5677.938,10768.942,,,,,2018-06-16 11:44:55.143
3.881134,-1282,3784,-9160,265,2495,490,4625.758,9942.615,-5356.246,10931.277,324,252,220,,2018-06-16 11:44:55.163
3.901123,-297,1916,-351,-723,3601,163,4416.798,10116.96,-5159.313,10952.44,,,,,2018-06-16 11:44:55.183
3.921112,353,1882,-553,-1207,1149,-560,4395.185,10336.973,-5051.662,10804.882,,,,,2018-06-16 11:44:55.203
3.941101,-19,2180,-287,-1172,321,-902,4351.123,10449.609,-4994.663,10740.679,,,,,2018-06-16 11:44:55.223
3.96109,220,2156,-599,-374,772,-52,4192.722,10553.552,-4765.747,10805.865,,,,,2018-06-16 11:44:55.243
3.981079,-17,2102,-665,207,2093,-373,4001.939,10581.69,-4487.897,10968.434,336,257,206,,2018-06-16 11:44:55.263
4.001068,-91,1797,-302,667,1927,-14,4013.229,10500.034,-4416.092,11071.443,,,,,2018-06-16 11:44:55.283
4.021057,32,1756,-614,530,189,-155,4072.91,10436.666,-4333.26,11142.069,,,,,2018-06-16 11:44:55.303
4.041046,55,1566,-235,804,37,-421,4201.538,10310.669,-4250.202,11243.149,,,,,2018-06-16 11:44:55.323
4.061035,-56,1691,-387,1157,-124,-526,4300.692,10213.896,-4090.848,11352.566,336,257,206,35185,2018-06-16 11:44:55.343
4.081024,-101,1979,-469,1228,600,-748,4364.432,10130.494,-3751.838,11518.853,324,277,239,,2018-06-16 11:44:55.363
4.101013,-91,2199,-550,1701,1579,-1333,4494.126,10019.385,-3272.949,11710.593,,,,,2018-06-16 11:44:55.383
4.120972,-691,1997,902,2202,1277,-2048,4689.825,9458.105,-3375.11,12066.227,,,,,2018-06-16 11:44:55.403
4.140961,7362,13180,-3805,4808,-3022,1154,4935.611,9012.935,-3421.649,12293.677,,,,,2018-06-16 11:44:55.423
4.16095,609,2673,-697,2666,-619,-661,5147.881,8590.684,-3365.23,12522.385,,,,,2018-06-16 11:44:55.443
4.180939,-265,1684,-407,2752,-718,-138,5299.373,8226.662,-3254.5,12731.156,301,273,221,,2018-06-16 11:44:55.463
4.200959,32,1302,761,2440,-115,-362,5466.035,7940.66,-3076.953,12885.502,,,,,2018-06-16 11:44:55.483
4.220917,194,1342,674,2156,-138,-741,5680.958,7675.603,-2980.224,12975.575,,,,,2018-06-16 11:44:55.503
4.240937,-103,1630,-216,1756,-899,-783,5914.15,7440.649,-2994.102,13005.013,,,,,2018-06-16 11:44:55.523
4.260895,251,1747,677,1270,-1198,-669,6080.287,7254.281,-3022.461,13027.113,,,,,2018-06-16 11:44:55.543
4.280915,700,2228,-1302,975,-617,-315,6104.754,7142.994,-2955.036,13092.471,300,233,164,,2018-06-16 11:44:55.563
